"case_id","county"
1724273,"Chatham "
1724275,"Montgomery "
1724288,"Prince George's "
1724297,"Johnston "
1724322,"New York "
1724333,"Los Angeles "
1724339,"Dallas "
1724349,"Cumberland "
1724361,"Sevier "
1724374,"Tarrant "
1724408,"Pierce "
1724448,"Cook "
1724450,"Cook "
1724455,"York "
1724468,"Florence "
1724483,"Riverside "
1724487,"Hunterdon "
1724488,"Mecklenburg "
1724502,"Guilford "
1724504,"Guilford "
1724516,"Suffolk "
1724526,NA
1724535,"Suffolk "
1724537,"Travis "
1724550,"Kanawha "
1724561,"Arapahoe "
1724568,"Jefferson "
1724569,"Clark "
1724571,"Denver "
1724576,"Hillsborough "
1724577,"Arapahoe "
1724584,"Wake "
1724592,"Dallas "
1724606,"Douglas "
1724607,"Nassau "
1724618,"Davis "
1724623,"Denver "
1724631,"Middlesex "
1724632,"Middlesex "
1724669,"Santa Clara "
1724670,"Rockingham "
1724677,"Franklin "
1724684,"Montgomery "
1724702,"Los Angeles "
1724732,"Los Angeles "
1724757,"Cumberland "
1724758,"Monroe "
1724777,"Snohomish "
1724787,"Prince George's "
1724789,"Lubbock "
1724792,"Salt Lake "
1724829,"Perry "
1724847,"Summit "
1724870,"Tarrant "
1724879,"Kalamazoo "
1724899,"Mercer "
1724952,"Chippewa "
1724963,"St Johns "
1724970,"Allegan "
1724983,"Orange "
1724985,"Los Angeles "
1725007,"Harris "
1725032,"Washington "
1725033,"Clackamas "
1725042,"Cumberland "
1725046,"Tarrant "
1725049,"Bell "
1725063,"Macomb "
1725071,NA
1725084,NA
1725096,"Queens "
1725097,"Dallas "
1725098,"Lancaster "
1725099,"Hidalgo "
1725107,NA
1725113,"Suwannee "
1725114,"Baylor "
1725153,"Riverside "
1725155,"Pontotoc "
1725157,"Pontotoc "
1725158,"Maricopa "
1725162,"Seminole "
1725169,"Sedgwick "
1725175,"Harris "
1725185,"McLennan "
1725191,"Oakland "
1725231,"Chittenden "
1725258,"Merrimack "
1725264,"Allegheny "
1725287,"Passaic "
1725296,"Cape May "
1725327,"Maricopa "
1725366,"Warren "
1725367,"Milwaukee "
1725386,"Erie "
1725393,"Kalamazoo "
1725403,"Iron "
1725409,"Cuyahoga "
1725432,"Kaufman "
1725463,"Cass "
1725465,"Buchanan "
1725469,"Jackson "
1725471,"Orange "
1725473,"Milwaukee "
1725505,"Crawford "
1725550,"Middlesex "
1725553,"Randall "
1725561,"Middlesex "
1725565,"Oakland "
1725572,"Lawrence "
1725577,NA
