State,State Name,County,NAICS3,Employees,Avg Weekly Pay,Establishments,WHD Office Name,Industry
CA,California,Modoc County,213,0,0,1,Sacramento,Support Activities for Mining
CA,California,Monterey County,213,0,0,1,San Francisco,Support Activities for Mining
CA,California,Napa County,213,0,0,1,San Francisco,Support Activities for Mining
CA,California,Nevada County,213,0,0,2,Sacramento,Support Activities for Mining
CA,California,Orange County,213,202,1264,15,San Diego,Support Activities for Mining
CA,California,Placer County,213,0,0,2,Sacramento,Support Activities for Mining
CA,California,Riverside County,213,0,0,4,West Covina,Support Activities for Mining
CA,California,Sacramento County,213,0,0,3,Sacramento,Support Activities for Mining
CA,California,San Benito County,213,0,0,1,San Francisco,Support Activities for Mining
CA,California,San Bernardino County,213,0,0,8,West Covina,Support Activities for Mining
CA,California,San Diego County,213,41,955,10,San Diego,Support Activities for Mining
CA,California,San Francisco County,213,0,0,1,San Francisco,Support Activities for Mining
CA,California,San Joaquin County,213,0,0,3,Sacramento,Support Activities for Mining
CA,California,San Mateo County,213,0,0,3,San Francisco,Support Activities for Mining
CA,California,Santa Barbara County,213,259,1273,10,Los Angeles,Support Activities for Mining
CA,California,Santa Clara County,213,81,1174,6,San Francisco,Support Activities for Mining
CA,California,Santa Cruz County,213,0,0,2,San Francisco,Support Activities for Mining
CA,California,Solano County,213,0,0,4,Sacramento,Support Activities for Mining
CA,California,Sonoma County,213,131,1772,3,San Francisco,Support Activities for Mining
CA,California,Stanislaus County,213,0,0,1,Sacramento,Support Activities for Mining
CA,California,Sutter County,213,32,906,3,Sacramento,Support Activities for Mining
CA,California,Tulare County,213,0,0,2,Sacramento,Support Activities for Mining
CA,California,Ventura County,213,200,1483,20,Los Angeles,Support Activities for Mining
CA,California,Yolo County,213,47,1021,7,Sacramento,Support Activities for Mining
CA,California,Alameda County,221,1403,2640,19,San Francisco,Utilities 
CA,California,Alpine County,221,0,0,2,Sacramento,Utilities 
CA,California,Amador County,221,0,0,3,Sacramento,Utilities 
CA,California,Butte County,221,122,1174,10,Sacramento,Utilities 
CA,California,Calaveras County,221,0,0,3,Sacramento,Utilities 
CA,California,Colusa County,221,0,0,4,Sacramento,Utilities 
CA,California,Contra Costa County,221,0,0,22,San Francisco,Utilities 
CA,California,Del Norte County,221,0,0,1,San Francisco,Utilities 
CA,California,El Dorado County,221,0,0,7,Sacramento,Utilities 
CA,California,Fresno County,221,0,0,27,Sacramento,Utilities 
CA,California,Glenn County,221,0,0,6,Sacramento,Utilities 
CA,California,Humboldt County,221,0,0,10,San Francisco,Utilities 
CA,California,Imperial County,221,415,1683,14,San Diego,Utilities 
CA,California,Inyo County,221,0,0,10,Sacramento,Utilities 
CA,California,Kern County,221,1365,2149,60,Sacramento,Utilities 
CA,California,Kings County,221,36,1000,5,Sacramento,Utilities 
CA,California,Lake County,221,0,0,11,Sacramento,Utilities 
CA,California,Lassen County,221,0,0,6,Sacramento,Utilities 
CA,California,Los Angeles County,221,0,0,248,Los Angeles,Utilities 
CA,California,Madera County,221,260,2145,12,Sacramento,Utilities 
CA,California,Marin County,221,0,0,5,San Francisco,Utilities 
CA,California,Mariposa County,221,0,0,2,Sacramento,Utilities 
CA,California,Mendocino County,221,0,0,7,San Francisco,Utilities 
CA,California,Merced County,221,0,0,10,Sacramento,Utilities 
CA,California,Modoc County,221,0,0,3,Sacramento,Utilities 
CA,California,Mono County,221,0,0,3,Sacramento,Utilities 
CA,California,Monterey County,221,741,2658,24,San Francisco,Utilities 
CA,California,Napa County,221,0,0,5,San Francisco,Utilities 
CA,California,Nevada County,221,0,0,4,Sacramento,Utilities 
CA,California,Orange County,221,0,0,85,San Diego,Utilities 
CA,California,Placer County,221,0,0,10,Sacramento,Utilities 
CA,California,Plumas County,221,0,0,6,Sacramento,Utilities 
CA,California,Riverside County,221,0,0,65,West Covina,Utilities 
CA,California,Sacramento County,221,0,0,30,Sacramento,Utilities 
CA,California,San Benito County,221,0,0,1,San Francisco,Utilities 
CA,California,San Bernardino County,221,4114,2060,95,West Covina,Utilities 
CA,California,San Diego County,221,0,0,100,San Diego,Utilities 
CA,California,San Francisco County,221,0,0,18,San Francisco,Utilities 
CA,California,San Joaquin County,221,200,1671,13,Sacramento,Utilities 
CA,California,San Luis Obispo County,221,0,0,19,Los Angeles,Utilities 
CA,California,San Mateo County,221,780,2349,16,San Francisco,Utilities 
CA,California,Santa Barbara County,221,0,0,13,Los Angeles,Utilities 
CA,California,Santa Clara County,221,1963,2241,22,San Francisco,Utilities 
CA,California,Santa Cruz County,221,0,0,5,San Francisco,Utilities 
CA,California,Shasta County,221,0,0,17,Sacramento,Utilities 
CA,California,Siskiyou County,221,0,0,8,Sacramento,Utilities 
CA,California,Solano County,221,0,0,10,Sacramento,Utilities 
CA,California,Sonoma County,221,0,0,13,San Francisco,Utilities 
CA,California,Stanislaus County,221,0,0,5,Sacramento,Utilities 
CA,California,Sutter County,221,314,2560,12,Sacramento,Utilities 
CA,California,Tehama County,221,0,0,3,Sacramento,Utilities 
CA,California,Trinity County,221,0,0,3,Sacramento,Utilities 
CA,California,Tulare County,221,0,0,22,Sacramento,Utilities 
CA,California,Tuolumne County,221,0,0,12,Sacramento,Utilities 
CA,California,Ventura County,221,925,2251,56,Los Angeles,Utilities 
CA,California,Yolo County,221,0,0,4,Sacramento,Utilities 
CA,California,Yuba County,221,0,0,1,Sacramento,Utilities 
CA,California,Alameda County,236,7110,1290,1003,San Francisco,Construction of Buildings
CA,California,Alpine County,236,0,0,3,Sacramento,Construction of Buildings
CA,California,Amador County,236,97,511,28,Sacramento,Construction of Buildings
CA,California,Butte County,236,888,697,139,Sacramento,Construction of Buildings
CA,California,Calaveras County,236,165,520,67,Sacramento,Construction of Buildings
CA,California,Colusa County,236,0,0,7,Sacramento,Construction of Buildings
CA,California,Contra Costa County,236,6037,1277,823,San Francisco,Construction of Buildings
CA,California,Del Norte County,236,28,401,20,San Francisco,Construction of Buildings
CA,California,El Dorado County,236,718,695,221,Sacramento,Construction of Buildings
CA,California,Fresno County,236,3454,872,403,Sacramento,Construction of Buildings
CA,California,Glenn County,236,24,619,6,Sacramento,Construction of Buildings
CA,California,Humboldt County,236,510,652,119,San Francisco,Construction of Buildings
CA,California,Imperial County,236,247,625,38,San Diego,Construction of Buildings
CA,California,Inyo County,236,0,0,19,Sacramento,Construction of Buildings
CA,California,Kern County,236,2142,996,269,Sacramento,Construction of Buildings
CA,California,Kings County,236,129,760,25,Sacramento,Construction of Buildings
